word,meaning
resume,이력서
opening,개시
opening,개장
opening,결원
opening,공석
applicant,신청자
applicant,지원자
requirement,요건
requirement,필요조건
meet,(필요
meet,요구 등을) 만족시키다
qualified,자격 있는
qualified,적격의
be qualified for,~에 자격이 있다
qualification for,~에 대한 자격
candidata,지원자
candidata,후보자
confidence,~에 대한 확신
confidence,신임
confidence,자신
confidence,확신
certified,보증된
certified,증명된
confident,자신만만한
confident,확신하는
in confidence,비밀로
highly,대단히
highly,매우
professional,전문가
professional,전문적인
professional,직업의
interview,면접
interview,면접을 보다
hire,고용하다
training,교육
training,훈련
reference,참고
reference,추천서
position,두다
position,일자리
position,직책
achievement,달성
achievement,성취
impressed,감명을 받은
impressed,인상 싶게 생각하는
excellent,탁월한
excellent,훌륭한
eligible,자격이 있는
eligible,적격의
ineligible,자격이 없는
allowed,허가받은
allowed,허용된
identify,알아보다
identify,확인하다
associate,관련시키다
condition,조건
be associated with,~와 관련되다
in associated with,~와 제휴하여
employment,고용
lack,~이 없다
lack,부족
managerial,관리의
supervisory,감독하는
supervisory,관리의
dilligent,성실한
familiar,익숙한
familiar,친숙한
proficiency,능숙
proficiency,숙달
prospective,미래의
prospective,장래의
appeal,관심을 끌다
appeal,매력적이다
appeal to,~에게 호소하다
appeal to,~의 흥미를 끌다
specialize,~을 전공하다
specialize,전문적으로 다루다
apprehensive,걱정하는
apprehensive,염려하는
consultant,고문
consultant,컨설턴트
entitle,자격을 주다
degree,학위
payroll,급료 명부
payroll,임금 대장
recruit,모집하다
certification,증명
certification,증명서
occupation,직업
wage,급료
wage,시급
wage,월급
salary,봉급
salary,연봉
compensation,보상
compensation,보상금
compensation,보수
application from,신청서
career,경력
career,직업
completion,완료
completion,완성
fair,공정한
fair,타당한
graduation,졸업
in fact,사실은
job fair,취업 박람회
job offer,일자리 제안
list,명단
list,목록
list,목록에 기입하다
newcomer,새로 온 사람
newcomer,신입 사원
part-time,시간제의
part-time,아르바이트
part-time,파트타임의
previous job,이전 직업
secretary,비서
send in,~을 제출하다
tidy,깔끔한
tidy,단정한
trainee,훈련받는 사람
apply for,~에 지원하다
aptitude,소질
aptitude,재능
be admitted to,: ~에 입장이 허용되다
be advised to do,~할 것을 권유받다
criteria,기준들
criterion,기준
decade,10년
employ,고용하다
insufficient,불충분한
minimum,최소한도
minimum,최소한의
party,단체
party,당사자
party,연회
plentiful,풍부한
profession,직업
attire,복장
attire,옷차림새
code,관례
code,규범
code,암호
concern,걱정
concern,문제
concern,우려
concern,일
policy,규정
policy,보험 증권
comply,따르다
comply,준수하다
observe,~을 관찰하다
observe,준수하다
obey,(사람에게)복종하다
obey,(지시에)따르다
fulfill,(조건을)충족시키다
regulation,규정
safety regulations,안전 규정
customs requlations,관세 규정
exception,예외
adhere,고수하다
adhere,지키다
severely,심하게
severely,엄격하게
refrain,삼가다
refrain,자제하다
permission,허가
permission,허락
sternly,엄격하게
leniently,관대하게
permit,허가
permit,허락
access,~에 도달하다
access,~에 접근하다
access,이용 권한
access,접근
access,통로
approach,(학문 등에의)접근법
approach,가까워지다
approach,다가오다
approach,처리 방법
thoroughly,대단히
thoroughly,완전히
thoroughly,철저하게
revise,(의견이나 계획을)변경하다
revise,(의견이나 계획을)수정하다
approval,승인
approval,인가
form,양식
form,유형
form,종류
immediately,곧
immediately,즉시
inspection,검사
inspection,점검
inspect,검사하다
inspect,점검하다
arrangement,마련
arrangement,주선
arrangement,준비
arrange,마련하다
arrange,주선하다
procedure,절차
negative,부정적인
negative,비관적인
mandate,권한
mandate,명령
mandate,명령하다
mandate,지시
mandate,지시하다
proceed,나아가다
proceed,진행하다
procedural,절차상의
effect,결과로서 ~을 가져오다
effect,영향
effect,효과
effect,효력
in effect,(법률 등이)실시된
in effect,(법률 등이)효력 있는
come into effect,발효되다
come into effect,실시되다
take effect,~에 영향을 미치다
secondary effect,부수적 효과
drastically,과감하게
drastically,심하게
drastically,철저하게
according to,~에 따라
enable,(무엇을)가능하게 하다
standard,기준
standard,표준
standardize,표준화하다
constant,끊임없이 계속하는
constant,지속적인
act,결의서
act,결정하다
act,법령
act,판결을 내리다
act,행동
act,행동하다
act,행위
ban,금지
ban,금지하다
obligation,의무
obligation,책임
authorize,~을 인가하다
authorize,권한을 부여하다
prohihbit,금지하다
forbid,금지하다
abolish,(제도나 법률 등을)폐지하다
enforce,(법률을)시행하다
enforce,집행하다
abolition,폐지
enforcement,시행
enforcement,집행
habit,버릇
habit,습관
convention,관례
convention,관습
legislation,법규
legislation,법률
restrict,제한하다
restrict,한정하다
lift a restriction,제한을 풀다
raise a restriction,제한을 풀다
limit,제한하다
limit,한정하다
restrictive,제한하는
legislate,법률을 제정하다
habitual,습관적인
restriction,제한
bend over,몸을 앞으로 숙이다
by oneself,혼자 힘으로
date,날짜
get used to,~에 익숙해지다
if it's okay with you,당신만 괜찮다면
in case of,~의 경우에는
in rows,여러 줄로
in rows,줄지어
item,항목
legal,법류의
legal,합법적인
let go,놓아주다
ruler,자
stop,멈추다
busy,바쁜
curriculum,교과 과정
dress,옷을 차려입다
dress,의복
enough,충분한
enough,필요한 만큼의 양
finish,끝내다
finish,완료하다
have a problem (in) -ing,~하는데 문제가 있다
large,넓은
large,큰
law firm,법률 회사
loudly,시끄럽게
plus,~을 더하여
plus,~을 더한
protect,보호하다
seldom,드물게
seldom,좀처럼 ~않는
theft,절도
try,노력하다
try,시도하다
witness,목격자
witness,증인
write,글씨를 쓰다
write,저술하다
accustomed,익숙한
corporation,법인
corporation,주식회사
demanding,요구가 많은
demanding,힘든
colleague,(직업상의)동료
division,부서
divide,나누다
compartment,구획
compartment,칸막이
category,부문
request,요청
request,요청하다
efficiently,효율적으로
manage,~을 경영하다
manage,가까스로 하다
handle,다루다
handle,처리하다
succeed,성공하다
submit,제출하다
directly,곧바로
remind,~에게 상기시키다
remind,일꺠우다
reminder,메모
reminder,상기시켜주는 것
instruct,가르치다
instruct,지시하다
instruction,지시
deadline,마감시간
deadline,마감일
sample,견본
sample,샘플
sample,시식하다
sample,시험하다
sample,표본
notify,~에게 통지하다
notify,알리다
announce,~을 발표하다
reveal,~을 누설하다
reveal,~을 폭로하다
perform,실행하다
perform,행하다
monitor,감독하다
monitor,감시하다
monitor,검토하다
monitor,모니터
monitor,화면
deserve,~할 가치가 있다
deserve,~할 만하다
conduct,실행하다
conduct,하다
conduct,행동하다
complete,완료하다
complete,완수하다
assignment,과제
assignment,일
assignment,임무
entire,전체의
release,공개하다
release,발매
release,발표하다
release,출시
press release,보도 자료
extension,(전화의)내선
extension,연기
extension,연장
extend,늘리다
extend,연장하다
extensive,광범위한
extensive,포괄적인
electronically,컴퓨터로
electronically,통신망으로
attendance,출근
attendance,출석
absolutely,완전히
absolutely,절대적으로
delegate,(권한 등을)위임하다
delegate,대표
delegation,(권한의)위임
delegation,대표단
attendantively,조심스럽게
attendantively,주의 깊게
supervision,감독
supervisor,감독관
workshop,연수
workshop,워크숍
draw,끌다
draw,끌어당기다
revision,개정
revision,수정
reluctantly,꺼려하여
reluctantly,마지못해
acquaint,~에게 숙지시키다
acquaint,잘 알게 하다
acquaintance,지인
